index,Dependent,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
41583,0,0.156468424,43,0,0.029194161,5000,7,0,0,0,1
41590,0,0.9999999,47,0,0.304326768,6193,1,0,1,0,2
41592,0,0.132956425,48,0,0.630987182,4446,7,0,1,0,2
41619,0,0.076767858,76,0,0.438136456,3927,7,0,2,0,0
41626,0,0.393323586,71,0,0.445729537,4495,13,0,0,0,0
41651,0,0.064804717,38,0,0.645419323,8000,11,0,3,0,2
41653,0,0,76,0,0.071053934,10104,7,0,1,0,0
41665,0,0.9999999,31,0,0.078449469,4333,1,0,0,0,0
41667,1,0.001986987,77,0,0.208261499,14500,10,0,1,0,0
41718,0,0.033632212,53,0,0.070191026,4501,3,0,0,0,0
41747,0,0,35,0,0.581437342,8306,4,0,3,0,2
41770,0,0.136989906,57,0,0.257227101,15600,7,0,1,0,0
41775,0,0.297953645,78,0,0.304828112,10500,13,0,1,0,0
41796,0,0.08460101,57,0,0.214973804,5916,10,0,1,0,1
41806,0,0.068551075,49,0,0.465804067,5950,17,0,2,0,2
41808,0,0.537239909,58,0,0.468185607,3598,6,0,2,0,1
41813,0,0.126879711,43,0,1.256092608,4923,16,0,5,0,0
41857,1,0.362683438,32,0,0.013410729,4995,3,0,0,0,2
41881,0,0.077993033,55,0,0.314210724,8000,6,0,2,0,2
41884,0,0.07301545,73,0,0.025994801,5000,3,0,0,0,0
41885,0,0.185831451,58,0,0.535548627,13150,24,0,4,0,2
41891,0,0.869817037,65,0,0.569454225,11359,18,0,1,0,1
41903,0,0.246438926,36,0,0.441376027,8400,12,0,4,0,2
41932,0,0.02756749,33,1,0.838053982,3000,4,0,1,0,1
41938,0,0.333992241,54,0,0.478541763,6500,12,0,2,0,0
41942,0,0.584406248,43,0,0.337922054,10750,10,0,1,0,2
41979,0,0,42,0,0.060381769,7700,6,0,0,0,4
41986,0,0.38863428,27,0,0.113563479,5300,5,0,0,0,3
41988,0,0.229096363,34,0,0.054800575,9050,3,0,0,0,3
41989,0,0.229410477,51,0,0.56179514,8600,14,0,2,0,3
42024,0,0.025430726,42,0,0.004999375,8000,8,0,0,0,0
42026,0,0.097324585,63,4,0.407331453,3900,17,0,1,0,1
42049,0,0.016507656,67,0,0.221561531,3867,11,0,1,0,0
42054,0,0.002620862,48,0,0.275520699,23333,8,0,2,0,3
42068,0,0.675929176,40,2,0.755692085,8300,17,0,1,0,3
42072,0,0.642914583,45,0,0.069082535,8250,10,0,0,0,2
42080,1,0.9999999,51,0,0.293369219,4086,7,2,0,0,0
42084,0,0.008218903,73,0,0.007746127,4001,8,0,0,0,0
42088,0,0.370587777,63,0,0.696776418,5800,10,0,2,0,1
42089,0,0.69433066,52,0,0.363432303,9800,11,0,1,0,0
42116,0,0,52,0,0.290598291,6200,4,0,2,0,0
42139,0,0.036490092,64,0,0.325173986,8333,12,0,1,0,1
42156,0,0.142270768,43,0,0.196408061,9576,10,0,2,0,1
42226,0,0.075431503,33,0,0.37872144,4332,11,0,2,0,0
42333,0,0.138214363,63,0,0.130962067,25808,9,0,2,0,1
42336,0,0.518261098,59,0,0.370893729,13728,19,0,2,0,0
42341,0,0.063855733,72,3,0.092517007,1469,14,0,0,0,0
42343,1,0.9999999,32,1,0.372937294,1211,3,0,0,0,1
42458,0,0.034868996,81,0,0.017391304,4484,6,0,0,0,0
42469,1,0.9999999,49,0,0.001345895,5200,0,0,0,0,6
42498,0,0.08543433,62,0,0.141711921,11600,14,0,1,0,0
42509,0,0,57,0,0,5000,3,0,0,0,0
42510,0,0.017881737,58,0,0.279753893,5200,13,0,2,0,0
42529,0,0.059803419,70,0,0.029153355,2503,5,0,0,0,0
42549,0,0.591501118,50,1,0.041494813,8000,9,1,0,0,0
42559,0,0.097085845,46,0,0.386829613,9900,7,0,1,0,4
42564,0,0.152924975,59,1,0.329567256,9381,6,1,1,0,0
42603,0,0.37312984,65,0,0.026297086,5627,4,0,0,0,1
42619,0,0.051466205,59,0,0.315860505,18523,12,0,1,0,1
42627,0,0.802416555,48,0,0.12808904,5300,5,0,0,0,1
42654,0,0.563109469,72,0,1.14349704,6250,18,0,3,0,1
42671,0,0.00812774,71,0,0.0979565,18252,16,0,1,0,1
42677,0,0.09286795,54,0,0.308586427,8000,8,0,2,0,0
42693,0,0.008626748,67,0,0.05811138,825,19,0,0,0,0
42708,0,0.436656417,48,1,0.382193912,13500,11,0,2,0,1
42713,0,0.035748603,41,0,0.364961983,9600,14,0,2,0,2
42715,0,0.9999999,45,0,0.278144371,5000,6,0,1,0,2
42716,0,0.208097342,30,0,0.340797981,6340,11,0,2,0,0
42723,0,0.747667111,48,0,0.206631069,8052,5,0,1,0,2
42731,0,0.84162416,44,0,0.433349778,10134,14,0,2,0,0
42745,0,0.032216346,73,0,0.502368006,5700,9,0,2,0,0
42755,0,0.007209167,76,0,0.004213101,7357,16,0,0,0,0
42762,0,0.172171709,61,0,0.501982161,4035,12,0,1,0,0
42766,1,1.123505976,53,1,0.205621302,6083,10,0,0,0,0
42769,0,0.027358744,49,0,0.348046677,7883,8,0,2,0,1
42793,0,0.689773566,45,0,0.581543035,7400,15,0,2,0,0
42799,0,0.126161843,31,0,0.406318736,5000,7,0,2,0,0
42806,0,1.051089406,25,0,0.035990403,3750,3,0,0,0,0
42807,0,0.69652437,42,0,0.615297392,9700,12,0,2,0,1
42836,0,0.322226259,63,0,0.680886519,6000,15,0,2,1,1
42862,1,0.999333555,42,2,0.610770089,3583,9,5,1,0,0
42870,0,0.315216315,31,0,1.104456825,1435,10,0,2,0,0
42878,0,0.668438859,51,0,0.486568089,12916,11,0,3,0,1
42899,0,0.025187804,47,0,0.124925005,15000,6,0,1,0,4
42928,0,0.111960639,45,0,0.434085096,4300,5,0,1,0,4
42931,0,0.563012341,56,3,0.50281767,5500,11,1,1,0,0
42936,0,0.9999999,49,1,0,3100,0,0,0,0,1
42972,0,0.089837931,69,0,0.491143911,5419,21,0,3,0,0
43015,0,0.568915427,66,0,1.130217446,4000,11,0,1,0,0
43025,1,0.429098881,63,0,0.523548518,4925,14,0,1,0,1
43027,0,0.019234552,41,0,0.113604488,4990,13,0,0,0,0
43030,0,0,41,2,0,7446,1,0,0,0,0
43056,0,0.028708086,37,0,1.108039132,4701,19,0,2,0,1
43068,0,0.20100715,53,0,0.375683635,7130,14,0,3,0,1
43069,0,0.018534453,66,0,0.006569552,3500,6,0,0,0,0
43078,1,0.9999999,35,1,0.306203082,2530,7,0,0,0,0
43081,0,0.424943342,48,0,0.283429143,4000,12,0,0,0,0
43085,0,0.9999999,60,0,0.028959934,9633,1,0,0,0,0
43091,0,0.010267393,75,0,0.213551791,3600,6,0,1,0,0
43117,0,0.355791037,50,0,1.429904466,4500,13,0,3,0,0
43121,0,0.042892091,57,1,0.591201257,7000,11,0,3,0,0
43135,0,0.864668483,24,0,2.311755361,2517,3,0,0,0,0
43139,0,0,64,0,0.399657925,1753,7,0,2,1,0
43142,0,0.122264151,37,0,0.224797457,9750,8,0,2,0,4
43143,0,0.216860396,69,0,0.386462469,5288,15,0,1,0,0
43149,0,0.291326087,38,0,0.510514772,7750,8,0,2,0,2
43164,0,0,69,0,11,0,8,0,0,0,0
43184,0,0,79,0,0.008997001,3000,7,0,0,0,0
43191,0,0.003768941,39,0,0.266090298,1040,2,0,0,0,2
43201,0,0,61,0,1.089285714,3583,6,0,1,0,0
43210,1,0.786697903,33,0,2.35514942,4048,15,0,13,0,0
43228,0,0.048417618,48,0,0.018238541,12500,13,0,0,0,2
43229,0,0.311334433,35,0,0.304596019,6831,7,0,1,0,3
43230,0,0.098244613,69,0,0.302853134,8551,18,0,1,0,1
43236,0,0.03796293,69,0,0.099864525,5166,2,0,0,0,0
43251,0,0.033573141,23,0,0.048144433,1993,3,0,0,1,1
43253,0,0.975403536,28,0,0.397540984,2683,4,0,1,0,0
43277,0,0.006080917,51,0,0.273911553,2916,7,0,1,0,0
43280,0,0.232959224,62,0,0.257298031,7364,5,0,1,0,0
43289,0,0.05618582,54,0,0.304429341,12800,14,0,2,0,1
43342,0,0.201513784,48,0,0.333866453,2500,6,0,1,0,2
43353,0,0.058939511,49,0,0.543366472,2916,7,0,1,0,0
43368,0,0.956208758,69,1,0.594181164,3333,8,0,1,1,0
43370,0,0.028321003,47,0,0.52143389,9400,15,0,1,0,0
43389,0,0.107131856,67,1,0.461672812,5152,16,0,1,0,0
43392,0,0.033657051,55,0,0.254016369,6597,10,0,1,0,1
43403,0,0.093170824,57,0,0.214139153,5360,8,0,1,0,0
43407,0,0.900097635,47,0,0.301479751,12839,17,0,2,0,1
43411,0,0.818545449,37,0,0.378557145,6500,14,1,1,0,0
43419,0,0.064150029,65,0,0.139441869,11000,5,0,1,0,0
43433,0,0,46,0,0.559751512,6116,6,0,2,0,7
43434,0,0.414585415,23,0,0.02268431,528,1,0,0,0,0
43451,0,0.051630708,67,0,0.063704054,8460,11,0,0,0,0
43468,0,0,44,0,0.434844698,2800,4,0,1,0,0
43469,0,0.156048203,41,0,0.16835887,5416,5,0,1,0,0
43473,0,0.610985202,66,0,0.15796051,4000,3,0,1,0,0
43475,0,0.181687649,41,0,0.377613987,5833,7,0,1,0,0
43477,0,0.025647673,65,0,0.0059997,6666,4,0,0,0,0
43478,0,0.042898576,82,0,0.00543913,6250,2,0,0,0,1
43486,0,0.864305099,41,0,0.309335874,7347,5,0,1,0,2
43491,0,0.043619346,44,0,0.561348379,7000,9,0,2,0,2
43502,0,0.091571737,41,0,0.465251204,8100,5,0,1,0,2
43510,0,0.844157581,54,1,0.224955009,5000,7,0,0,0,1
43518,0,0.156334552,44,0,0.759780908,3833,15,0,2,0,3
43528,0,0.9999999,47,0,0.015138532,3500,0,2,0,0,0
43566,0,0.065493451,76,0,0.395600733,6000,3,0,1,0,0
43587,0,0.449444221,76,0,0.283572143,3000,4,0,0,0,1
43621,0,0.9999999,42,1,0.047375312,8400,3,0,0,0,2
43636,1,0.144294381,60,0,0.044836563,3456,3,0,0,1,0
43686,0,0.017943466,63,0,2.21446384,400,19,0,1,0,0
43691,0,0.538174327,58,0,1.45004583,1090,11,0,2,0,1
43757,0,0.081538198,61,0,0.528384279,2518,8,0,1,0,0
43760,0,0.011521714,65,0,0.003422245,9934,9,0,0,0,0
43771,0,0.020099999,61,0,0.010229133,4887,11,0,0,0,0
43788,0,0.98980204,35,1,0.104808212,1850,5,0,0,0,0
43795,0,0.603487132,30,0,0.287913261,35600,15,1,5,0,0
43811,0,0.10559472,36,0,0.382973348,7916,7,0,1,0,0
43848,0,0,32,0,0.274234992,4280,6,0,1,0,0
43853,0,0.171270082,64,0,0.142167382,1863,13,0,0,0,0
43860,1,0.9999999,58,1,0.173798799,2663,2,0,0,0,1
43879,0,0.008132791,88,0,0.001893939,1583,4,0,0,0,0
43901,0,0.049371661,57,0,0.142086217,15750,7,0,2,0,0
43928,0,0.138211132,51,0,0.31061979,5517,13,0,1,0,1
43932,0,0.11209168,73,0,0.503795593,5400,6,0,2,0,0
43955,0,0,25,0,0.098117995,4728,5,0,0,0,1
44016,0,0.214719063,52,0,0.379113698,8416,4,0,2,0,2
44019,0,0.206419898,44,0,0.209892002,19166,10,0,3,0,0
44061,1,1.072992701,39,0,0.322342668,6641,9,0,1,0,0
44085,0,0.005272248,42,0,0.34805124,11006,8,0,3,0,1
44087,0,0.097912455,66,0,977,0,11,0,2,0,0
44104,0,0.937088576,39,3,0.467978757,3200,3,0,1,0,1
44108,0,0.742219053,51,0,0.562538863,20906,14,0,3,0,2
44117,0,0.627992089,53,1,0.346434118,8370,10,0,1,0,1
44121,0,0.099690851,58,1,0.444796163,10424,12,1,2,0,2
44136,0,0.846731584,54,0,0.493640509,8333,11,0,1,0,2
44140,0,0.054458594,54,0,0.163347267,12200,14,0,1,0,1
44143,0,0.166065498,62,0,0.368796965,13440,8,0,2,0,1
44152,0,0.872170439,50,0,0.070505001,8197,3,2,0,0,1
44162,0,0.143195227,54,0,0.122412159,32700,7,0,1,0,2
44164,0,0.025830151,28,0,0.060505489,7833,4,0,0,0,0
44200,0,0.618984135,34,2,0.389049786,7250,5,0,2,1,0
44244,0,0.498756563,52,3,0.666143893,5100,16,0,1,0,1
44274,0,0.01456004,74,0,0.132637192,4500,7,0,1,0,0
44281,0,0.028062567,32,0,39,0,5,0,0,0,0
44297,0,0.508229503,40,0,0.226260791,2200,3,0,0,0,0
44298,0,0,55,0,0.322343077,8825,4,0,3,0,3
44322,0,0.003785579,46,1,0.335161696,8750,17,0,1,0,2
44324,0,0,39,0,0.352274621,6000,8,0,1,0,3
44326,0,0.45410306,70,1,0.570714643,2000,8,0,1,0,0
44327,0,0.00131572,58,0,0.000150932,13250,5,0,0,0,1
44339,0,0,59,0,0.20197307,7500,13,0,1,0,0
44341,0,0.00749875,70,0,0.227172717,3635,7,1,1,0,0
44342,0,0.761145036,65,0,0.783554111,4000,6,0,1,0,1
44349,0,0.792097999,57,1,0.618884365,14000,18,0,2,0,3
44359,0,0.011992005,41,5,0.033704656,3500,5,1,0,1,2
44432,0,0.316785222,27,2,0.490892936,2250,11,0,0,0,0
44436,0,0.019153064,63,0,0.219169593,4840,13,0,1,0,2
44451,0,0.02845633,53,1,0.278187566,11387,9,0,2,0,3
44457,0,0.9999999,26,0,18.62376238,100,2,0,1,0,0
44505,0,0.9999999,52,0,0.378046579,5538,4,0,2,0,0
44512,0,0.025115695,66,0,0.256467207,7653,5,0,2,0,3
44534,0,0.140452273,76,0,0.154860668,4700,4,0,1,0,0
44546,0,0.000256405,53,0,0.334590333,5833,15,0,2,0,1
44564,0,2028,29,0,0.151155528,1600,4,0,0,0,0
44575,0,0.456165399,52,0,0.407129649,9733,23,0,1,0,0
44598,0,0.068768655,32,0,0.197465681,20833,17,0,2,0,4
44623,0,0.010027652,66,0,0.101582015,1200,16,0,0,0,2
44632,0,0.019712331,65,0,0.351960893,9000,31,0,2,0,0
44635,0,2.706323419,34,1,0.105080949,9820,7,0,0,0,0
44642,0,0,56,0,0.138715321,4000,5,0,1,0,0
44655,0,0.796597061,53,1,0.293059126,3500,8,0,0,0,0
44685,0,0.060880889,31,0,0.334371755,8666,7,0,1,0,1
44706,0,0,78,0,0,5168,2,0,0,0,0
44718,0,0.358400273,31,0,0.478944933,4321,10,0,1,0,2
44725,0,0,38,0,0.350332594,1352,4,1,0,0,4
44742,0,0.360593163,64,0,0.939724138,7249,10,0,3,0,2
44748,1,0.9999999,46,2,0.561131387,3287,3,2,1,0,3
44777,1,0,40,0,0.32488397,2800,11,0,1,0,1
44798,0,0.156496963,32,1,0.243372447,2300,9,0,0,0,0
44825,0,0.110744463,53,0,1.281081081,1479,6,0,2,0,0
44837,0,0.029086315,63,0,0.639883658,5500,8,0,3,0,1
44846,0,0.490821352,50,0,0.464593169,3600,10,0,1,0,0
44848,0,0.364659539,34,0,0.260579807,3000,9,0,0,0,0
44853,0,0,50,0,0,5250,4,0,0,0,1
44855,0,0.03131062,67,0,0.593913956,5717,14,0,3,0,0
44871,0,0.032265092,48,1,0.485835479,6600,14,0,2,0,2
44886,0,0.48841094,58,1,1.119093966,5650,20,0,1,1,0
44894,0,0.148311633,62,0,0.704312865,2735,25,0,1,0,0
44924,0,0.9999999,58,1,0,3342,2,0,0,0,0
44931,0,0.9999999,54,0,0.174684847,11660,5,0,2,0,0
44952,0,0.085661908,44,0,0.945840555,2307,8,0,2,0,0
44979,0,0.9999999,80,0,0.990563494,3708,1,0,1,1,0
44998,1,0.682030814,78,5,0.640671866,5000,12,2,2,0,0
45031,0,1.068376068,43,0,0.140661388,2146,3,1,0,0,3
45043,0,0.018377539,43,0,0.007374078,8000,12,0,0,1,3
45053,0,0.069950455,55,0,0.227822145,9265,13,0,2,0,0
45101,0,0.9999999,44,0,0,1500,1,0,0,0,2
45149,0,0.693927323,44,2,1.947697112,1280,7,0,1,0,1
45150,0,0.558334126,33,1,0.474167137,7083,10,0,1,0,0
45156,0,0,63,0,0.255587949,1028,6,0,0,0,0
45180,0,0.149845318,59,0,0.250125733,5964,11,0,1,0,0
45211,0,0.32016749,51,0,0.211995473,2650,3,0,1,0,0
45215,0,0.028219584,69,0,0.148833765,2700,8,0,0,0,0
45221,0,7.63E-05,42,0,0.235003529,7084,9,0,1,0,2
45224,0,0.946108664,34,1,0.730131004,2289,9,0,1,0,2
45240,0,0.781860907,36,0,0.243719535,8000,6,0,0,0,2
45244,0,0.365804416,50,0,0.330191374,3500,8,0,1,0,1
45253,0,0.677754816,43,0,0.142009061,6400,4,0,0,0,0
45255,0,0.133310279,57,0,0.149957155,3500,4,0,1,0,0
45329,0,0.957635205,30,0,0.202922702,7800,12,0,0,0,0
45337,0,0.144834658,25,1,0.008508627,4230,2,1,0,1,0
45347,0,0.443012326,45,0,0.443854996,7916,9,0,1,0,4
45354,0,0.018190151,61,1,0.056256944,9900,7,0,1,0,0
45364,0,0.328192583,34,1,0.117072335,5833,15,0,0,0,0
45379,0,0.033003236,45,0,0.117353011,4200,7,0,0,0,1
45380,0,0,73,0,0,3333,1,0,0,0,0
45381,0,0.108774637,37,0,0.153956013,3500,5,0,0,0,1
45389,0,0.426314737,37,0,0.560330958,4350,8,0,1,0,0
45393,0,0.079420531,44,0,0.399516324,4134,5,0,1,0,0
45398,0,0.028692198,70,0,0.026437372,3895,8,0,0,0,0
45407,0,0.950209958,28,0,0.637801832,1200,5,0,0,0,0
45410,0,0.984112876,33,0,0.344514043,4948,3,0,1,0,1
45412,0,0.50815164,58,1,1.666319082,3835,11,0,2,0,1
45461,0,0.9999999,58,0,0.172009652,2900,3,1,0,0,0
45512,0,0.072327776,58,0,0.503190172,10500,9,0,4,0,1
45517,0,0.020773145,68,0,0.378329734,8333,35,0,2,0,0
45574,0,0.054799709,61,1,1.213824057,5569,18,0,4,0,0
45595,0,0.831137408,37,1,1.039991113,4500,7,0,2,0,1
45605,0,0.112998954,63,0,0.061143732,7833,15,0,0,0,0
45609,0,0.786612586,51,0,0.357556038,5531,6,0,0,0,0
45619,0,0.027950591,30,0,0.030876834,5861,15,0,0,0,0
45628,0,0.136781852,44,1,0.925648235,3200,17,0,3,0,1
45665,0,0.948526802,41,0,0.618485237,3894,10,0,1,0,1
45685,0,0.702107035,24,0,0.27857589,1600,3,0,0,0,0
45718,0,0.012748662,31,0,0.298015222,6700,13,0,2,0,0
45725,0,0.200594799,43,0,0.724078835,3500,7,0,3,0,0
45727,0,0.104895105,25,0,3,0,1,0,0,0,0
45741,0,0,47,1,1666,0,5,0,1,0,3
45784,0,0.119358122,53,0,0.536629704,5500,13,0,2,0,2
45813,0,0.636832247,78,0,0.532492264,4200,11,0,1,0,0
45824,0,0.093607998,26,0,0.139340659,2274,7,0,0,0,0
45829,0,1.099800399,26,0,0.188801639,2928,7,0,0,0,0
45841,0,0.332334573,45,0,0.502208789,4300,13,0,2,0,2
45845,0,0.946352555,67,1,0.462062012,3966,18,0,0,0,0
45854,0,0.180715386,61,0,0.270789834,41666,18,0,4,0,0
45862,1,0.055463838,56,2,0.136095989,9000,22,0,1,0,0
45893,0,0.499761369,41,0,0.134287033,6500,4,0,0,0,0
45898,0,0.780007029,58,0,0.61121004,11792,9,0,2,0,0
45913,1,0.9999999,34,0,0.015546918,1800,0,0,0,0,0
45925,0,0.019206453,59,0,0.146901776,8052,19,0,2,0,3
45927,0,0.067690869,66,0,0.118017309,5083,10,0,0,0,0
45949,0,0.122358176,54,0,0.609410431,5291,17,0,2,0,1
45962,0,0.002947651,27,1,1.29925187,400,6,0,0,0,0
45986,0,0.01666585,69,0,0.92256453,1200,10,0,2,0,0
46018,0,0.848921492,33,0,0.565552699,3500,12,0,1,0,3
46025,0,0.694424446,54,0,0.341259119,3700,7,0,0,0,0
46058,0,0,40,0,0.307227661,4800,9,0,2,0,4
46060,0,0.488251175,45,0,0.293731778,5487,8,0,1,0,2
46062,0,0.440961781,64,0,0.65,6679,8,0,1,0,0
46090,0,0.090504076,33,0,0.629657989,3917,11,0,1,0,2
46122,1,0.9999999,28,0,0.603132289,3000,6,1,0,0,2
46123,0,0.021918085,65,0,0.006238004,2083,1,0,0,0,0
46158,0,0.04436323,81,0,0.010219951,4500,8,0,0,0,0
46163,0,0,66,0,0.370757628,5833,6,0,2,0,1
46168,0,0.9999999,27,1,0.433151432,1465,3,0,0,0,0
46187,0,0.072872022,50,0,0.329890037,3000,20,0,0,0,2
46189,0,0.327191531,59,0,0.381167493,22800,17,0,2,0,1
46204,0,0.012459622,22,0,0.002150538,929,5,0,0,0,0
46224,1,0.754728551,49,3,0.651442854,4400,14,0,1,1,2
46232,0,0.527959621,58,0,0.374182542,10550,5,0,1,0,0
46248,0,0.060755115,61,0,2150,0,4,0,2,0,0
46250,0,0.043141395,66,0,0.533048027,4205,15,0,2,0,0
46267,0,0,48,0,0.100459969,15000,7,0,0,0,2
46268,0,0.071995765,36,0,0.009193928,4676,4,0,0,0,0
46275,0,0.029665254,46,3,0.694475761,6208,9,0,3,0,0
46303,0,0.614914093,73,0,0.412606991,12500,27,0,1,0,0
46312,0,0,80,0,0.01029897,10000,4,0,0,0,0
46313,0,0.166320565,45,0,0.506958887,6250,9,0,1,0,0
46327,0,0.198829886,52,0,2.801831807,1200,9,0,3,0,0
46336,0,0.090722247,47,0,0.171527199,8400,8,0,1,0,2
46353,0,0.117173336,47,0,0.606782294,3862,6,0,1,0,1
46370,0,0.117462188,52,0,0.494345409,5216,4,0,1,0,0
46394,0,0,39,0,0.323343849,3803,6,0,0,0,3
46424,0,0.026202379,37,0,0.187293426,2722,4,0,0,0,0
46444,0,0.011522292,34,0,0.260594742,6960,10,0,1,0,1
46505,0,0.032539411,40,0,0.534032753,11723,18,0,2,0,4
46538,0,0.049317061,46,0,0.199056991,14633,9,0,2,0,3
46542,0,0.064662356,64,0,0.008961681,3235,2,0,0,0,0
46555,0,0.162552371,56,0,0.292634152,9000,9,0,1,0,0
46574,0,0.23951909,36,0,0.311653117,6641,10,0,1,0,2
46576,0,0.341398089,34,0,0.049175898,3700,5,0,0,0,0
46578,0,0.611297687,57,2,0.526354053,2750,6,0,2,1,0
46583,1,0.9999999,54,0,0.621786065,10189,8,0,1,1,0
46589,0,0.010883993,28,0,0.000910747,3293,4,0,0,0,2
46630,0,0.095287111,64,0,0.307816603,4950,5,0,1,0,0
46641,0,0.424122513,48,0,1.139342961,6300,12,0,3,0,0
46642,0,0.716566866,21,0,0.086378738,300,2,0,0,0,0
46662,0,0.948051948,33,0,0.067528073,6500,2,0,0,0,0
46719,0,0.024524494,51,0,1.089201878,1916,7,0,1,0,0
46745,0,1.014663408,48,0,0.625675676,1479,4,0,0,0,0
46761,0,0.9999999,54,0,0.322365681,2400,4,0,1,0,0
46779,0,0.82689974,54,0,0.357114441,7540,14,0,1,0,3
46799,0,0.40491368,51,0,0.320833958,13333,10,0,1,0,3
46821,0,0,85,0,0.309833972,3914,13,0,2,0,0
46838,0,0.485344565,42,0,0.52949017,3000,25,0,0,0,2
46855,0,0.082255853,36,0,0.039994445,7200,5,0,0,0,2
46864,0,0.456648104,55,0,0.09434468,7461,15,0,0,0,0
46872,0,0.838989727,34,0,0.65514369,2400,3,0,0,0,0
46879,0,0.000799973,42,3,4656,0,9,0,2,0,2
46889,0,0.212175007,54,0,0.605629954,3658,7,0,2,0,0
46901,0,0,38,0,0.632121885,6300,6,0,1,0,0
46915,0,0.731427789,57,0,0.285790456,3750,7,0,0,0,0
46925,0,0.018092752,62,1,0.0973009,3000,17,0,0,0,0
46928,0,0.9999999,47,1,0.045149195,6400,5,0,0,0,1
46949,0,0.010332472,33,0,0.129702003,16375,4,0,1,0,0
46966,0,0.098585336,35,0,0.37493751,6000,13,0,1,0,0
46972,0,0.702297702,51,1,0.312651478,4125,6,0,2,1,0
46991,0,0.334071467,49,0,0.29984938,8630,14,0,2,0,0
47009,0,0.051645334,47,0,0.199328714,9235,12,0,2,0,4
47019,0,0.040201118,41,0,0.009498208,5579,4,0,0,0,0
47025,0,0.09205226,60,0,0.419732441,6577,24,0,2,0,0
47032,0,0.202724889,56,0,0.273162121,17560,9,0,2,0,2
47042,0,0.088173802,36,0,0.373897707,1700,8,0,0,0,2
47048,0,0.003088144,51,0,0.490007994,1250,12,0,1,0,0
47051,0,0.516604713,41,0,0.271127776,10400,9,0,2,0,5
47090,0,0,35,0,0.047317561,3000,4,0,0,0,0
47126,0,0,57,0,0.536985206,2500,5,0,1,0,2
47148,0,0.01206687,82,0,0.008997751,4000,10,0,0,0,0
47153,0,0.032854535,40,0,0.056990502,6000,8,0,0,0,3
47183,0,0.219934321,66,3,0.98950175,6000,16,0,1,0,0
47185,0,0.014491703,58,1,0.426618416,7460,12,0,2,0,2
47187,0,0.016457164,32,0,0.057177129,2500,8,0,0,0,0
47213,0,0.465893188,67,0,0.55736066,4000,5,0,1,0,0
47283,0,0.9999999,28,0,0.053173949,2425,0,1,0,0,2
47286,0,0.856191744,37,0,0.003783273,7400,3,0,0,0,3
47297,0,0,33,0,0.128023218,3100,8,0,0,0,0
47311,0,0.886900775,40,1,0.230283912,3803,4,0,0,1,0
47315,0,0.022088452,55,0,0.271328411,16116,5,0,3,0,1
47317,0,0.01717531,66,0,0.034224161,7333,7,0,0,0,1
47329,0,0.351399526,62,0,0.167949251,9615,7,0,1,0,0
47331,0,0.070808249,73,0,0.313140572,12000,7,0,2,0,1
47342,0,0.985000466,35,0,958,0,4,0,0,0,4
47346,0,0.008166119,67,0,0.386459463,8300,12,0,4,0,1
47369,0,0.480491566,38,3,0.243170807,9700,8,0,1,0,2
47385,0,0.337597628,41,0,0.099036674,5916,5,0,0,0,0
47389,0,0.347713546,57,0,0.21745217,15000,6,0,1,0,1
47394,0,0,39,1,0.639951427,4940,7,0,2,0,1
47399,0,0.9999999,38,0,0.954385965,1994,5,0,1,0,1
47411,0,0,56,0,0.727802537,5833,12,0,2,0,0
47454,0,0.025199542,74,0,0.032773781,1250,10,0,0,0,0
47473,0,0.120969211,37,0,0.116107476,7182,7,0,0,0,0
47480,0,0.02082108,72,0,0.001319609,3788,6,0,0,1,1
47482,0,0.414619513,56,0,0.126692336,8050,7,0,0,0,0
47487,0,0.14904216,67,0,0.424412487,2850,9,0,1,0,0
47512,0,0.071946403,70,0,0.242952833,7165,6,0,1,0,1
47517,0,0,65,0,0.088,11249,7,0,1,0,0
47521,0,0,62,0,0.311400153,7841,8,0,1,0,0
47524,1,0.714107366,37,3,0.415528157,3000,7,2,0,0,3
47534,0,0.079458229,30,0,0.191140565,8600,12,0,1,0,0
47542,0,0.9999999,22,0,0,600,1,0,0,0,0
47543,0,0.569543046,38,0,0.443972679,10833,8,0,2,0,0
47545,0,0,64,0,0.010540184,8348,5,0,0,0,1
47568,1,0.982003599,48,0,0.046416167,3166,1,0,0,0,0
47604,1,0.968555252,56,0,0.455966839,13750,17,0,1,0,6
47607,0,0.035575555,75,0,0.009814613,2750,12,0,0,0,0
47619,0,0.225954267,62,0,0.203450844,8055,5,0,1,0,0
47620,0,0.135039316,41,0,0.033693489,7033,3,0,0,0,1
47622,0,0.153885264,35,0,0.531198582,7900,6,0,2,0,0
47672,0,0.972562195,39,1,0.638067472,2400,6,0,1,0,1
47696,1,0.367848017,63,0,0.147442535,4828,5,1,0,0,1
47726,0,0.715605172,37,0,0.220259913,3000,3,0,0,0,4
47730,0,0,44,0,0.699520457,9800,9,0,2,0,3
47739,1,0.323335461,51,2,0.415152554,2916,6,1,1,0,1
47746,0,0.340448704,62,0,0.70101899,4317,11,0,2,0,4
